Unidade da Federação;2008/Jan;2008/Fev;2008/Mar;2008/Abr;2008/Mai;2008/Jun;2008/Jul;2008/Ago;2008/Set;2008/Out;2008/Nov;2008/Dez;2009/Jan;2009/Fev;2009/Mar;2009/Abr;2009/Mai;2009/Jun;2009/Jul;2009/Ago;2009/Set;2009/Out;2009/Nov;2009/Dez;2010/Jan;2010/Fev;2010/Mar;2010/Abr;2010/Mai;2010/Jun;2010/Jul;2010/Ago;2010/Set;2010/Out;2010/Nov;2010/Dez;2011/Jan;2011/Fev;2011/Mar;2011/Abr;2011/Mai;2011/Jun;2011/Jul;2011/Ago;2011/Set;2011/Out;2011/Nov;2011/Dez;2012/Jan;2012/Fev;2012/Mar;2012/Abr;2012/Mai;2012/Jun;2012/Jul;2012/Ago;2012/Set;2012/Out;2012/Nov;2012/Dez;2013/Jan;2013/Fev;2013/Mar;2013/Abr;2013/Mai;2013/Jun;2013/Jul;2013/Ago;2013/Set;2013/Out;2013/Nov;2013/Dez;2014/Jan;2014/Fev;2014/Mar;2014/Abr;2014/Mai;2014/Jun;2014/Jul;2014/Ago;2014/Set;2014/Out;2014/Nov;2014/Dez;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez
11 Rondônia;0.239025259;0.409757587;0.260450492;0.262459108;0.283884341;0.262459108;0.40373174;0.384984661;0.37159389;0.368246197;0.340795117;0.354855427;0.352410488;0.404939598;0.396295567;0.396295567;0.428876914;0.446164976;0.448159752;0.408264225;0.369698549;0.397625418;0.449489603;0.392306015;0.362704029;0.394104201;0.367830588;0.408843057;0.429349292;0.373597966;0.390900102;0.391540922;0.432553392;0.408843057;0.366548948;0.373597966;0.366011082;0.372988763;0.43007888;0.431347549;0.399630817;0.381235113;0.377429105;0.45481793;0.437690895;0.381235113;0.391384467;0.359667736;0.375469101;0.416349321;0.375469101;0.39873938;0.438990674;0.422009659;0.381129439;0.372953395;0.356601307;0.371695542;0.333331027;0.33458888;0.361066396;0.336185218;0.39636295;0.389419366;0.399256111;0.430502241;0.440338986;0.372060405;0.414879176;0.411986016;0.410828752;0.376110829;0.366021535;0.430647212;0.375743982;0.413489952;0.405483231;0.390613607;0.420352856;0.42721576;0.387182155;0.392901241;0.377459708;0.347720458;0.358555913;0.326885359;0.334237452;0.30369799;0.402102925;0.387964285;0.397013014;0.375522281;0.344417273;0.350638275;0.328016451;0.301435807;0.304932806;0.313325452;0.331789273;0.342979468;0.342419958;0.392216324;0.352491133;0.356407701;0.371514464;0.299897218;0.321718098;0.300456728;0.313990347;0.31897432;0.341125315;0.333372467;0.300145975;0.345555514;0.327280943;0.32229697;0.300145975;0.330049818;0.288516703;0.311775247;0.308945948;0.38860052;0.358445575;0.380066102;0.340807777;0.307808026;0.33739401;0.349911157;0.302118413;0.322032056;0.305532181;0.196860586
12 Acre;0.147043038;0.245561874;0.305849519;0.301438228;0.322024253;0.280852203;0.317612962;0.348492;0.341139848;0.319083393;0.302908658;0.289674785;0.305296239;0.324105959;0.364619204;0.316871451;0.445645694;0.355937795;0.340021877;0.353043992;0.060769867;0.340021877;0.313977648;0.384875827;0.316596911;0.28657479;0.309773701;0.30840906;0.292033357;0.287939432;0.244270892;0.285210148;0.277022297;0.278386939;0.262011236;0.252458743;0.355044173;0.304132178;0.269297656;0.302792389;0.337626912;0.269297656;0.359063541;0.305471968;0.285375128;0.266618077;0.28001597;0.312170914;0.329473659;0.170008408;0.328155765;0.301797872;0.301797872;0.300479977;0.296526293;0.299162083;0.166054724;0.311023134;0.268850506;0.245128402;0.245987252;0.30909393;0.255002492;0.324548626;0.252426709;0.305230256;0.255002492;0.248563035;0.227956773;0.28076032;0.245987252;0.288487668;0.303758633;0.253132194;0.203771417;0.301227311;0.288570702;0.280976736;0.341728463;0.287305041;0.274648431;0.28603938;0.318946565;0.269585787;0.28748757;0.359670596;0.347225247;0.309889199;0.248906987;0.311133734;0.347225247;0.268819546;0.367137806;0.311133734;0.242684313;0.275042221;0.192240112;0.286523478;0.281625641;0.253463077;0.227749432;0.295094694;0.242442943;0.222851594;0.255911996;0.258360914;0.269381048;0.257136455;0.215761693;0.224199301;0.229020791;0.185627378;0.243485263;0.192859614;0.185627378;0.225404674;0.239869145;0.2374584;0.270003459;0.195270359;0.242733804;0.174860371;0.218575463;0.234681024;0.177161165;0.246184995;0.239282612;0.228929038;0.284148102;0.27264413;0.251936981;0.144950044
13 Amazonas;0.184669941;0.257101263;0.215797451;0.2909225;0.229864691;0.246924961;0.240639599;0.282542016;0.2307626;0.24482984;0.157134066;0.228966782;0.229860059;0.196854512;0.254319527;0.246068141;0.206874053;0.214536055;0.248720372;0.233396368;0.249309757;0.23369106;0.238700831;0.206284669;0.230110456;0.192189632;0.197935211;0.226663108;0.21775746;0.224652155;0.248209031;0.226950387;0.222641203;0.216608344;0.225801271;0.246198078;0.235983232;0.229483095;0.228917866;0.233722315;0.255766257;0.234852773;0.245874745;0.213939289;0.199243328;0.220439426;0.215917592;0.230330939;0.245336586;0.20969177;0.212476521;0.214704322;0.228628078;0.222780101;0.225564852;0.220273825;0.227235703;0.2216662;0.212198046;0.178502556;0.199321362;0.211138834;0.221905864;0.227420684;0.21980498;0.222168475;0.200109193;0.206411845;0.188816942;0.190917826;0.17673686;0.192493489;0.233366024;0.161600808;0.160051919;0.180703779;0.212456015;0.175798962;0.188448227;0.185608596;0.199032305;0.193611192;0.195934526;0.184576003;0.18002527;0.19526013;0.198561017;0.224714194;0.223190708;0.228268995;0.228268995;0.200084503;0.20516279;0.201861903;0.187134871;0.182056584;0.166180744;0.196168247;0.205414394;0.196668039;0.210162415;0.220408145;0.209662623;0.215160332;0.205164498;0.193669288;0.156434806;0.17367762;0.18554912;0.175951751;0.208681238;0.185303033;0.210649929;0.173736974;0.199329956;0.178166529;0.187763897;0.206712547;0.167092642;0.193916056;0.207321894;0.208792262;0.214918795;0.217124347;0.212958305;0.22864223;0.219820022;0.215408918;0.218839777;0.220065083;0.227171862;0.211487936
14 Roraima;0.172003207;0.215609654;0.266483843;0.307667709;0.218032235;0.281019325;0.254370941;0.256793521;0.244680619;0.392458023;0.341583835;0.256793521;0.27758073;0.232503517;0.230131032;0.253855881;0.303678063;0.291815639;0.379597579;0.289443154;0.241993457;0.26809079;0.239620972;0.289443154;0.208320867;0.219401765;0.245995918;0.274806251;0.303616583;0.268157712;0.296968045;0.279238609;0.299184224;0.290319507;0.257076815;0.186159073;0.210793954;0.176023818;0.184716352;0.130388013;0.152119348;0.191235752;0.186889485;0.23904469;0.162985016;0.223832756;0.245564091;0.23252529;0.195943125;0.247058723;0.279005972;0.321602304;0.33012157;0.300304138;0.283265605;0.217241291;0.178904593;0.142697711;0.149087161;0.202332575;0.198741169;0.141372584;0.24996312;0.198741169;0.178252389;0.264305266;0.22947434;0.235620974;0.252011998;0.188496779;0.202838925;0.116786048;0.171048183;0.169035852;0.207270151;0.162998857;0.17909751;0.156961862;0.223368804;0.229405799;0.160986525;0.23141813;0.225381136;0.14086321;0.249176827;0.253132014;0.162162697;0.288728704;0.223468106;0.176005854;0.31245983;0.266975171;0.209624949;0.239288857;0.25115442;0.245221639;0.136126123;0.178908619;0.188631913;0.208078502;0.287809517;0.254750316;0.301422129;0.29947747;0.373374508;0.278086222;0.328647354;0.237248385;0.176030736;0.231518686;0.239172196;0.235345441;0.285093258;0.292746768;0.363541738;0.258305972;0.27552637;0.254479217;0.281266503;0.273612993;0.225472104;0.208128096;0.213331298;0.232409707;0.23934731;0.237612909;0.209862497;0.180377683;0.185580886;0.211596898;0.258425719;0.15089287
15 Pará;0.237110109;0.258690406;0.35457249;0.279314615;0.320563033;0.289831596;0.294612042;0.298299814;0.317285013;0.3096363;0.327801993;0.287509665;0.2926063;0.298774902;0.330690713;0.309502906;0.314196407;0.304541204;0.340077716;0.330020213;0.341418717;0.332434014;0.289656099;0.313928207;0.284788849;0.288215277;0.315231341;0.287951705;0.304029558;0.292432418;0.290982776;0.290455633;0.31127777;0.303502415;0.322743124;0.309037414;0.340634496;0.313711494;0.305777663;0.308508982;0.290690377;0.277554034;0.296933392;0.300575151;0.331920288;0.327758278;0.323076017;0.380953966;0.341975185;0.364858758;0.359233745;0.313850123;0.313210917;0.288793249;0.320881388;0.247884068;0.303239304;0.317301835;0.327017765;0.288026202;0.317760764;0.340636539;0.354637013;0.360512212;0.350886886;0.325261018;0.345261696;0.374387682;0.3217609;0.330136183;0.323010942;0.328511128;0.310800407;0.360153389;0.325606301;0.297598484;0.301299958;0.296734807;0.287110975;0.290072154;0.305124814;0.298955691;0.277116996;0.275883172;0.291704942;0.26831006;0.281591529;0.29779736;0.267457121;0.276230202;0.268919301;0.276961292;0.270625178;0.25649077;0.244184087;0.247473992;0.243698075;0.263564766;0.234788165;0.245142925;0.238641099;0.245985754;0.258748598;0.231416848;0.233945336;0.26513002;0.216366324;0.218051983;0.227809818;0.238805885;0.228048863;0.250040996;0.239403497;0.252072878;0.249443384;0.256136642;0.285778213;0.272630742;0.25267049;0.246574845;0.238914749;0.262994161;0.270276715;0.255594147;0.239619512;0.255476686;0.239619512;0.255006844;0.249486198;0.405943645;0.215775022;0.137076456
16 Amapá;0.192444436;0.195706206;0.123947264;0.194075321;0.148410539;0.212015056;0.207122401;0.241370987;0.246263642;0.262572493;0.238109217;0.244632757;0.233000164;0.221828924;0.237787839;0.362267379;0.266513887;0.293644043;0.250554971;0.217041249;0.312794741;0.277685127;0.247363188;0.330349548;0.25572426;0.272174359;0.257219724;0.197401184;0.164500986;0.245256016;0.204878501;0.213851282;0.216842209;0.179455621;0.212355819;0.252733333;0.257193753;0.219199221;0.162207424;0.189972659;0.197279299;0.242580472;0.235273831;0.203124612;0.308340238;0.195817971;0.208969924;0.248425784;0.247637424;0.259088866;0.247637424;0.279128889;0.263383157;0.260520296;0.236185983;0.263383157;0.251931715;0.253363145;0.21471453;0.29058033;0.202722192;0.153742333;0.198640537;0.31020577;0.221769914;0.204082743;0.227212121;0.206803847;0.16734785;0.180953366;0.213606605;0.185035021;0.199757095;0.190435098;0.137166539;0.229054803;0.186439956;0.292977073;0.270337936;0.177117958;0.170459388;0.194430239;0.233049945;0.175786244;0.126519704;0.155214894;0.183910085;0.213909602;0.220431237;0.183910085;0.161736529;0.14869326;0.215213929;0.234778832;0.1943447;0.166953836;0.173847462;0.171290881;0.194300104;0.16234285;0.195578394;0.185352073;0.195578394;0.182795493;0.152116529;0.177682332;0.182795493;0.167456011;0.181767583;0.16296404;0.159203331;0.166724749;0.16421761;0.169231888;0.180514014;0.150428345;0.167978318;0.19054257;0.171739027;0.179260444;0.15672205;0.184449797;0.185655351;0.14828317;0.180833134;0.159133158;0.14828317;0.178422026;0.194094231;0.17962758;0.172394255;0.192888677
17 Tocantins;0.410774153;0.467782733;0.63021814;0.461535218;0.481058704;0.473249309;0.566181105;0.531038829;0.524791313;0.430297639;0.434983276;0.438887973;0.419488085;0.479857219;0.547965986;0.503076117;0.47521344;0.560349398;0.489144778;0.475987403;0.485274962;0.505398007;0.527842941;0.409426563;0.432251764;0.427191961;0.406952748;0.489355258;0.45032249;0.453936635;0.419963671;0.473453019;0.428637619;0.370811296;0.453936635;0.34551228;0.446144314;0.429726203;0.43543685;0.394034658;0.456137946;0.429726203;0.478266704;0.432581527;0.439006005;0.444716652;0.448999637;0.471128395;0.402061376;0.485295134;0.496581068;0.489527359;0.513509968;0.453553447;0.428865467;0.400650634;0.379489509;0.392186184;0.390070072;0.340694113;0.374112751;0.374789266;0.415380161;0.391702139;0.424174855;0.479649078;0.380201385;0.457324086;0.400496833;0.41943925;0.370053661;0.361935482;0.370103148;0.382796216;0.398161509;0.411522634;0.366762867;0.323339212;0.342044786;0.413526802;0.441585164;0.432900433;0.348725349;0.318662819;0.34320578;0.298325024;0.353105946;0.310205224;0.323405446;0.314825302;0.275224635;0.288424857;0.265984479;0.244204112;0.316805335;0.299645046;0.249852893;0.328135784;0.308565062;0.315088636;0.311826849;0.32422164;0.372496089;0.297474985;0.287689624;0.273337761;0.294213198;0.308565062;0.261257623;0.254806818;0.314799309;0.290286248;0.330926323;0.319959953;0.244485529;0.366405753;0.296737054;0.252226496;0.296091973;0.236099482;0.261054803;0.234049134;0.270056693;0.219903307;0.224404252;0.235335118;0.258482834;0.264269763;0.258482834;0.244337008;0.225047244;0.186467716
21 Maranhão;0.202837537;0.246132805;0.267542553;0.25612402;0.270714367;0.312265137;0.308141778;0.328441391;0.312740909;0.344300463;0.304494192;0.268494097;0.273121142;0.305160655;0.31065763;0.321337467;0.308615896;0.334059039;0.350392908;0.331232023;0.353691093;0.347722949;0.322279806;0.359502181;0.339590205;0.286315184;0.321324484;0.347200923;0.341721206;0.365771073;0.368663146;0.372925147;0.339285777;0.386472224;0.367902074;0.358464784;0.353458393;0.346536687;0.359778211;0.340066397;0.37271879;0.339915925;0.366549444;0.362637176;0.371364544;0.375577756;0.368054163;0.365496141;0.356998496;0.361466562;0.361913369;0.369509082;0.370998437;0.351934688;0.37457289;0.349104912;0.336743262;0.310232736;0.295934924;0.274637141;0.305255831;0.331307076;0.325861336;0.329393708;0.361479422;0.379288465;0.397391873;0.390179946;0.39783342;0.358682961;0.366630798;0.35250131;0.38958476;0.35134152;0.349297988;0.339226295;0.337036797;0.348422189;0.379221134;0.359661614;0.358785815;0.33820453;0.345502858;0.34156176;0.324148592;0.335156319;0.379332066;0.32241053;0.342977599;0.358040804;0.356013065;0.368614016;0.368758854;0.36137209;0.352536941;0.355868227;0.351019178;0.314493626;0.33563243;0.343253903;0.311617599;0.342534896;0.359934864;0.325134929;0.305290338;0.303277118;0.294649035;0.267182971;0.320703794;0.328703532;0.333846221;0.326132188;0.348560026;0.352131337;0.368130814;0.357274026;0.354845534;0.342845927;0.326132188;0.341703107;0.341859445;0.345697368;0.352093907;0.395874659;0.368298471;0.353657505;0.351951762;0.348255984;0.318547616;0.337879377;0.283295582;0.274198283
22 Piauí;0.339135499;0.407090817;0.369907719;0.424079646;0.436260316;0.431772701;0.501651282;0.499407475;0.499086931;0.542360364;0.470237975;0.43658086;0.430798089;0.457186459;0.442879512;0.454960934;0.47785205;0.527449469;0.549386788;0.528085333;0.491205201;0.509327335;0.516639775;0.532854316;0.497272376;0.482844744;0.51266185;0.495348692;0.485089043;0.493745622;0.494066236;0.474508779;0.484447814;0.516509218;0.483806586;0.491821937;0.468422407;0.427025457;0.502176843;0.468422407;0.494215891;0.445494866;0.488484005;0.494215891;0.521920003;0.485299625;0.488165567;0.477020235;0.543225844;0.490073869;0.503678243;0.492604915;0.502729101;0.508107575;0.508740336;0.529305089;0.47900054;0.467294451;0.461915977;0.397374292;0.470138806;0.456006377;0.474849615;0.502172311;0.505626905;0.519131226;0.526668522;0.526668522;0.491494476;0.477362047;0.43025395;0.407956118;0.491436177;0.461699593;0.470151043;0.468898976;0.47703741;0.452935126;0.457317359;0.451370043;0.429771892;0.46858596;0.431336976;0.424450609;0.449434275;0.46847281;0.454427989;0.433516811;0.453491667;0.45099481;0.478772345;0.518409951;0.420720418;0.451306917;0.505613559;0.456924846;0.512424584;0.459812339;0.502462502;0.458567079;0.476000722;0.488142009;0.513358529;0.467906531;0.483472284;0.441756066;0.473821517;0.456699189;0.475886206;0.455384581;0.43674674;0.403819888;0.419972683;0.438610524;0.453210166;0.463460979;0.452588905;0.406926194;0.413449439;0.412206916;0.455195555;0.436203547;0.455195555;0.415986247;0.442330001;0.421500056;0.43773516;0.453357619;0.436203547;0.423950638;0.34859525;0.393931012
23 Ceará;0.269095643;0.358912527;0.404235144;0.393348249;0.402105099;0.409323584;0.443877642;0.400448398;0.417015412;0.390271518;0.306489761;0.437369172;0.374247951;0.385127932;0.381852238;0.367111619;0.402559299;0.385010943;0.392498241;0.41343928;0.401038442;0.394955011;0.413790247;0.378810523;0.376062893;0.38340186;0.399145129;0.402341131;0.390504086;0.378785413;0.392042902;0.429329591;0.383993712;0.360201253;0.37274852;0.359491031;0.358375668;0.362947684;0.368340317;0.345831934;0.326254329;0.375725881;0.407026602;0.369864323;0.375960343;0.401751199;0.396593028;0.377484348;0.32953734;0.365791096;0.404136414;0.342667707;0.349290989;0.36497771;0.341970519;0.370671409;0.369625628;0.340692342;0.329885934;0.35544948;0.351195912;0.336728873;0.352221135;0.372611686;0.34652545;0.36873862;0.369080361;0.391407445;0.396077906;0.411114513;0.385483933;0.363156849;0.379744359;0.355543855;0.343443603;0.344574467;0.358371017;0.344461381;0.376125592;0.357579411;0.401683134;0.345026813;0.357918671;0.354639163;0.343311143;0.326241044;0.351172373;0.330059356;0.329947052;0.354653775;0.379023588;0.372846907;0.367231743;0.368017866;0.352520013;0.307598699;0.348295111;0.325201873;0.317169443;0.351530396;0.347179496;0.337473642;0.342940157;0.353873188;0.323082204;0.333792112;0.335911781;0.309360135;0.30508422;0.320050197;0.310959751;0.291226833;0.30996202;0.33069267;0.33313157;0.343884902;0.343552324;0.336568202;0.35386222;0.328364629;0.332428017;0.319205822;0.346641877;0.35115946;0.322952111;0.322291001;0.330554873;0.346752061;0.303449373;0.353142789;0.33782708;0.320858596
